drawing,0.020905923,211,,draw,avg,2.103449942,242.0454545
drawing,0.039697543,173,,,med,0.442663646,207
drawing,7.333333333,203,,,,,
drawing,1.239382239,226,,text,avg,2.079480664,183.8947368
drawing,0.060606061,218,,,med,1.165217391,173
drawing,0.054216867,180,,,,,
drawing,0.051383399,195,,,,,
drawing,11.38709677,233,,,,,
drawing,1.412844037,256,,,,,
drawing,0.049180328,180,,,,,
drawing,0.069915254,188,,,,,
drawing,0.084782609,173,,,,,
drawing,12.77272727,188,,,,,
drawing,1.433179724,226,,,,,
drawing,0.028667791,196,,,,,
drawing,2.621710526,338,,,,,
drawing,1.589977221,316,,,,,
drawing,0.065375303,421,,,,,
drawing,0.790465632,647,,,,,
drawing,2.407407407,241,,,,,
drawing,2.668181818,196,,,,,
drawing,0.09486166,120,,,,,
text,1.25203252,240,,,,,
text,0.141791045,97,,,,,
text,5.263157895,67,,,,,
text,1.165217391,293,,,,,
text,1.305785124,301,,,,,
text,0.097345133,90,,,,,
text,1.098360656,181,,,,,
text,4,60,,,,,
text,0.724637681,196,,,,,
text,11.91666667,113,,,,,
text,1.339130435,353,,,,,
text,1.326923077,173,,,,,
text,5.538461538,90,,,,,
text,0.674698795,225,,,,,
text,1,0,,,,,
text,1.024590164,203,,,,,
text,0.30859375,579,,,,,
text,1.192,173,,,,,
text,0.140740741,60,,,,,
